"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92566","fan favorites","Firefox","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","90588","Born today page navigation","Chromium","2026-05-29","broken","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","10571","imdb pro","WebKit","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","21036","summer watch guide","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","9218","Top 10 on IMDb this week","WebKit","2026-05-28","failed","2026-05-28","IMDb Homepage","imdb_homepage.spec.js","",""
"","15214","summer watch guide","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","79817","Toggle between List and Grid view works","Chromium","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","9183","Showtimes button is clickable","Firefox","2026-05-26","passed","2026-05-26","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","28007","test","Firefox","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","3378","Movie titles are unique and not empty","Firefox","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","79067","Toggle between List and Grid view works","Firefox","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","21620","most popular celebrities","WebKit","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","8504","Mobile apps","Chromium","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
"","88671","Ranking order starts from 1","Chromium","2026-05-28","failed","2026-05-28","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","16054","most popular celebrities","Firefox","2026-05-29","passed","2026-05-29","IMDb Homepage","imdb_homepage.spec.js","",""
