"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7721","Search bar accepts input","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","5800","Search bar accepts input","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","7023","Ratings are valid","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","931","External ticket redirect works","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","6922","Release year is displayed","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","8913","Correct URL after opening movie","Chromium","2026-06-05","failed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","7566","Composer section is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","9947","Category selector works","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","6101","Navigation menu is functional","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","1103","Location prompt appears or handled","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","9773","Search functionality works","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","8669","celeb news page loads","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","6628","Page title is correct","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","1004","No critical elements missing","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","8844","Movie ratings are visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","8199","navigation bar opens","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","958","Showtimes section is available on page or redirect exists","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","804","Navigation to showtimes page works","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","7669","search category","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","6667","Trivia section is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","8514","Awards and nominations contain correct information","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","8964","Academy Awards winner info is correct","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","7406","Page loads with main UI components","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","734","No duplicate movie titles","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","7430","Movie titles are displayed","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","12495","Open movie details page","Chromium","2026-06-05","failed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","7785","12 months film festival event loads correctly","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","903","IMDb popular celebs page launched","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","11504","Known for section is working correctly","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","9670","Emily Blunt profile picture","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","7157","Mumbai Film Festival event page loads","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","7373","sally field profile loads correctly","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","7342","Page reload works properly","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","8097","Heading is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","5484","Mobile view works","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","6932","Ranking numbers are visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","1033","Multiple sections load on showtimes page","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","8710","Quotes section contains correct information","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","1032","Top 250 page opens","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","1075","Event details page loads","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","947","Showtimes button is clickable","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","8521","storyline is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","9716","Biography section is visible","Chromium","2026-06-05","failed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","9934","User reviews are visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","1315","Event links are functional","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","8297","Fan Favorites section is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","94142","Movies load correctly","Chromium","2026-06-05","broken","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","5100","Page loads with main UI components","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","5638","Photos section loads correctly","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","13285","Event details for Best Horror Baddy are visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","7298","Heading is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","9623","Anne Hathaway profile visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","8209","Page has no broken UI","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","7490","detailed view","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","7110","Links are present and clickable","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","13037","Christopher Nolan known for","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","1084","Cinema listings exist","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","676","Page scroll works","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","991","Showtimes page content loads","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","900","Page reload stability","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","7643","Mobile view works","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","12576","Cannes Film Festival event page loads","Chromium","2026-06-05","passed","2026-06-05","IMDb Events - Functional Tests","imdb_events.spec.js","",""
"","9598","grid view works","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","983","Showtimes are visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","9089","Sally Field biography contains correct information","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","99478","Prime Video links are functional","Chromium","2026-06-05","broken","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","706","No error messages","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","9016","Sydney Sweeney awards","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","8508","most popular celebs heading","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","6370","Recommendation content visible","Chromium","2026-06-05","passed","2026-06-05","IMDb What to Watch - Functional Tests","imdb_whatToWatch.spec.js","",""
"","7746","Personal details are visible correctly","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","11176","search bar works","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","693","Ticket links are visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","6697","Movie list is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","948","Back navigation works","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","7225","Search movie from Top 250","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
"","8828","Writer section is visible","Chromium","2026-06-05","passed","2026-06-05","IMDb Satyajit Ray - Functional Tests","imdb_SatyajitRay.spec.js","",""
"","10000","more to explore","Chromium","2026-06-05","passed","2026-06-05","IMDb Popular Celebs","imdb_popularCelebs.spec.js","",""
"","7941","Movie page loads successfully","Chromium","2026-06-05","passed","2026-06-05","IMDb Showtimes & Tickets","imdb_showtimes&tickets.spec.js","",""
"","6590","Page scroll works","Chromium","2026-06-05","passed","2026-06-05","IMDb Top 250 Movies","imdb_top250movies.spec.js","",""
